Group,Name,Sample
liver,ERR2130637,liver_ERR2130637
liver,ERR2130638,liver_ERR2130638
liver,ERR2130639,liver_ERR2130639
kidney,ERR2130634,kidney_ERR2130634
kidney,ERR2130635,kidney_ERR2130635
kidney,ERR2130636,kidney_ERR2130636
colon,ERR2130617,colon_ERR2130617
colon,ERR2130618,colon_ERR2130618
colon,ERR2130619,colon_ERR2130619
duodenum,ERR2130620,duodenum_ERR2130620
duodenum,ERR2130621,duodenum_ERR2130621
duodenum,ERR2130622,duodenum_ERR2130622
stomach,ERR2130646,stomach_ERR2130646
stomach,ERR2130647,stomach_ERR2130647
stomach,ERR2130648,stomach_ERR2130648
thymus,ERR2130649,thymus_ERR2130649
thymus,ERR2130650,thymus_ERR2130650
thymus,ERR2130651,thymus_ERR2130651
brain,ERR2130614,brain_ERR2130614
brain,ERR2130615,brain_ERR2130615
brain,ERR2130616,brain_ERR2130616
heart,ERR2130626,heart_ERR2130626
heart,ERR2130627,heart_ERR2130627
ileum,ERR2130628,ileum_ERR2130628
ileum,ERR2130629,ileum_ERR2130629
ileum,ERR2130630,ileum_ERR2130630
jejunum,ERR2130631,jejunum_ERR2130631
jejunum,ERR2130632,jejunum_ERR2130632
jejunum,ERR2130633,jejunum_ERR2130633
oesophagus,ERR2130623,oesophagus_ERR2130623
oesophagus,ERR2130624,oesophagus_ERR2130624
oesophagus,ERR2130625,oesophagus_ERR2130625
quadriceps,ERR2130643,quadriceps_ERR2130643
quadriceps,ERR2130644,quadriceps_ERR2130644
quadriceps,ERR2130645,quadriceps_ERR2130645
